R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
527,646,5202406968,205559910,55601136,12,57,21,59,105690,36814
646,647,2742177921,967408,92988816,43,42,0,42,122979,173
795,796,3076572362,28679551,105451760,181,38,24,14,232299,954
707,766,2768542259,41008039,171818072,20,34,13,34,70005,17137
795,826,2991182320,8348859,71746704,151,33,29,7,216594,11098
527,707,2544670882,35643407,137180808,10,32,35,35,74652,27230
707,796,2890288203,44377785,100461016,24,31,7,31,70113,15797
527,556,2555619785,23594402,172063504,11,30,37,39,61886,26123
527,586,2674390854,21412813,84170728,11,30,42,39,61886,28003
557,646,2617453452,73259981,174127032,28,30,6,32,94380,28774
527,616,2427271165,14569999,245038680,11,29,39,36,60155,29267
646,707,2740242004,79006422,130006816,35,29,22,29,109577,19071
527,676,2569823751,20121557,200964728,11,26,36,33,59394,31358
527,677,2449382061,22672117,54963408,12,26,24,28,66732,18978
795,825,2715555202,1025351,97470224,31,30,21,10,54170,4400
527,766,3016582645,63467244,148475752,9,24,20,31,54274,32667
527,796,3397611593,43741443,203944744,9,24,19,31,52982,30648
616,707,2716074537,31264416,259221608,10,24,32,29,66163,18234
646,796,2687526831,110771129,121721816,36,24,5,24,80635,25404
825,826,2419141318,106889,198345560,53,23,23,0,68930,152
282,796,2336487668,46005600,228276000,15,22,54,40,46361,36864
282,826,2276165914,52798996,262312088,16,22,54,40,47395,37755
283,284,2262464337,270867,100407624,57,21,0,21,62654,156
527,587,2568290133,9007170,160785536,16,22,18,22,59133,4276
527,706,2500834752,16204685,221273944,5,22,21,23,44058,26499
557,707,2495802406,65204808,57437016,22,22,26,26,78914,25247
586,707,2503451642,32523958,108577296,10,22,31,28,65046,18552
282,793,2258415154,43641327,141141144,16,21,54,40,45384,32633
646,766,2691738686,104574075,220273632,38,21,4,21,80050,24063
680,707,2683478128,82666179,68501992,36,21,24,25,104505,39155
707,826,3144740841,26284473,165320000,17,21,24,23,47606,15286
282,824,2429737657,42169044,194358416,16,20,53,38,44013,32845
496,497,2401076298,896933,237951288,15,20,0,20,33670,887
496,526,2559853124,496131,75309168,107,20,0,20,143244,254
527,557,2717331290,378128,172107168,26,19,0,19,62492,132
681,707,2526960512,72204274,254434328,38,20,28,22,106738,38576
706,707,2737075749,13702048,87080936,29,20,0,20,63198,10112
282,825,2324630009,42030834,117072016,16,19,51,37,43172,33353
527,617,2533704533,7059658,172071784,13,19,21,21,48625,5131
527,826,2445113645,12762636,217075288,3,19,19,19,37180,22796
587,707,2380674172,100267839,272062424,30,19,14,20,85784,26267
616,677,2440848780,13888070,307053160,10,19,7,19,57764,11798
676,707,2553619487,12231716,103904792,13,19,9,19,54572,11040
312,796,2290358807,35406743,133916704,16,18,50,35,40229,31402
312,826,2281690743,38317804,163910808,17,18,50,35,41263,32033
342,796,2327564736,42916270,208918416,22,18,42,33,47497,32997
342,826,2395053434,46227382,258920832,23,18,42,33,48531,33447
527,647,2519624610,7182916,69781968,13,18,20,20,48299,6104
616,647,2494803813,4669406,115928568,4,18,5,18,44661,8028
646,677,2655065744,17599886,172315832,43,18,3,18,98949,7789
707,736,2702548700,11828621,223584072,19,18,11,21,41951,7879
281,282,2321066072,1310318,249236208,18,16,6,10,25055,1318
312,793,2386354274,26590017,279991912,17,17,50,35,39252,26477
466,467,2328518686,1123667,71126768,5,17,0,17,17961,1825
467,497,2427284502,631128,110404368,8,17,1,16,16420,1120
497,527,2324617227,3399670,154571360,9,17,0,17,30442,5803
527,528,2483196342,1168216,198735808,23,17,8,9,62674,1225
556,707,2452981817,20040255,238013536,10,17,19,19,46613,15324
586,677,2444700486,13204426,272371784,10,17,7,17,56647,11411
707,708,2783870469,6266116,118472176,58,17,0,17,106722,2742
282,520,2329657510,19165895,151342592,30,16,23,14,47194,14551
312,824,2270897308,24332285,184233304,17,16,49,33,37881,26747
342,793,2429196514,30451208,226512888,24,16,42,32,46520,27334
497,526,2318908582,37407276,254694984,20,16,16,16,45391,11524
647,707,2472267333,86288396,82426672,40,16,14,16,98130,20151
251,282,2142619537,1055816,100415976,5,13,5,11,16477,1760
