R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
646,527,5501888920,2984673882,5204788,12966982,222371572,102998232,57,29,5,25,168982,13868
647,646,2568494785,1928396931,333379,7785768,15570687,624526240,9,4,7,3,140674,17542
796,795,3210234169,503313000,252159,223588,109909,293775968,4,1,1,0,291720,225
766,707,2655015714,1441140641,532408,3405046,37040987,326572288,11,25,14,26,118597,16137
826,795,2889258764,2936000084,4164232,3120506,5021118,391886096,81,11,11,4,281552,6596
707,527,2838230661,1461728657,821365,3175973,54353680,994257200,20,25,12,26,116820,19250
796,707,2983903900,2992494579,4312749,6994486,160606767,340902368,59,33,7,33,200689,24876
556,527,2652888908,382263454,2269363,753068,2311200,514705216,68,6,6,3,128212,2323
586,527,2621780914,652913240,1866829,806108,9667988,796678968,70,4,2,4,129038,4789
646,557,2732356372,1713447284,2941024,2696017,37190544,548316656,57,32,8,25,159692,10992
616,527,2641825285,1543926422,2129951,2570919,20079899,282028816,66,4,3,4,126617,8831
707,646,2627888739,2226479616,1485832,4098231,104250026,260689168,30,32,19,34,160524,20175
676,527,2435404578,1794220144,1961074,3252562,61308677,979333472,44,27,3,26,126694,16006
677,527,2317310695,181913453,201707,1037656,4563941,150502968,8,8,6,9,76988,3945
825,795,2376840336,560295720,468032,983288,253556,378245904,31,4,4,0,78169,3987
766,527,2419710492,906877907,247246,2137292,19868597,781196744,16,17,16,15,93771,15092
796,527,2739588925,1089317066,91148,3231698,35051946,406751360,16,19,21,18,98185,20037
707,616,2591776298,1781744129,136739,4334346,59225448,269995552,25,17,11,15,97809,21354
796,646,2804520776,2534310300,173701,4524026,67004018,441340888,25,28,32,29,145323,25149
796,282,2640830680,138549106,22575,1148407,2377251,599788328,5,5,9,6,55859,8685
826,282,2589644641,178473433,25079,1170085,2587183,688104240,5,6,11,6,57794,9570
587,527,2319987190,312649493,103531,515724,2144517,864451272,32,5,4,5,111661,2019
706,527,2520582619,3348338371,258520,5231808,71400157,463332840,41,23,22,23,111895,21944
707,557,2569948047,1889108666,247842,5298604,67087003,362744696,22,25,14,26,121498,17805
