R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
562,593,3981038066,395144642,22190768,220,341,109,341,63030,7426
561,593,2374024411,191482284,54452816,179,276,120,275,53523,10678
593,623,2274533406,19337517,40511504,264,180,173,7,48967,1093
593,624,2171295000,41490137,66062832,144,149,6,148,35241,3363
505,535,2371702933,18402176,74443360,262,186,175,11,83415,1177
530,560,2598110587,51423166,61402776,600,180,35,176,93433,1913
537,567,2087132219,12347014,88358984,131,149,37,112,39229,1018
500,530,2145243639,22286440,120719736,321,176,2,176,51319,1099
505,533,2165731125,76881758,89926832,227,145,119,149,63529,7054
560,591,2154542165,30201352,120884336,145,149,77,147,34689,4012
533,562,2083542037,20020767,136289680,117,149,2,149,31926,3532
560,593,2145679068,104468499,156828520,128,172,104,184,38835,12676
594,625,2178225291,76770440,59691800,260,142,0,142,47697,3653
502,532,2070581816,7710582,89274184,300,90,90,3,47495,827
625,656,2141722972,57176290,116388680,275,136,1,136,42338,4580
501,561,2041140151,72361323,138572624,163,157,94,166,38564,6993
530,535,2155208873,251256991,155918840,83,96,116,65,38742,11803
531,561,2192783082,18186929,34947680,373,148,3,148,58785,1467
562,594,2088096218,60667511,56307848,109,152,37,152,31235,6334
593,625,2075198345,45646162,77663896,87,143,32,123,29943,6077
530,562,2153104044,98414479,103764008,240,144,2,144,46038,9789
475,534,2081383806,70547979,127568680,73,159,79,184,47373,6213
468,499,2052564306,9035431,35348200,282,64,62,13,46862,4222
505,534,2227816014,35724733,80957816,424,5,3,4,70468,3432
434,467,2024905725,106587377,96919296,100,104,188,188,36128,7239
561,592,2218075662,32696919,126601992,328,47,38,46,42583,2884
597,626,2035099082,32800485,30745432,120,176,67,176,32952,4664
532,562,2103772586,11148845,52730968,145,143,4,143,32251,1381
656,687,2082003314,26690301,79116424,283,104,31,79,34552,5343
471,501,2014576114,6793187,101096888,188,136,0,136,35378,808
597,627,2045581559,8992882,134064432,221,197,6,197,61662,900
597,628,2085262587,32808551,48837408,104,117,50,110,36171,4113
687,717,2073146908,8987921,69990336,65,135,50,137,19364,2028
416,505,2030841519,12891732,99611064,234,10,10,11,66731,9072
530,593,2134156933,69657370,118649216,126,127,77,127,32447,11390
325,475,2017982657,41424940,36836264,76,117,155,150,56704,13005
325,505,2012567318,30781471,59197608,74,102,128,116,53114,14282
325,445,2021696943,36110023,85619520,78,118,157,120,57606,10436
435,467,1974449732,8432024,101880328,143,86,86,2,39415,4815
530,534,2180816684,65983347,130333968,188,85,92,71,50880,13140
688,718,2066140035,9503831,53658376,181,132,7,130,35374,750
560,592,2137340478,81132866,79155552,240,116,21,116,44606,9148
567,598,2046702924,21565492,98751920,76,133,5,133,25183,2861
