R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
527,646,9490440327,9638086507,3876351,30350350,220274915,538582224,12,57,21,59,168982,36814
646,647,2798803902,207145410,109387,46050,192368,632260400,2,1,0,1,140674,9
795,796,2873036780,603910303,530419,219062,8967693,813844280,4,4,2,4,291720,532
707,766,2772565746,2011324798,856725,3502304,109333331,685400176,20,34,13,34,118597,17137
795,826,2940436256,8023989031,16980072,3929557,8469707,918137248,169,15,11,7,281552,11098
527,707,2714433719,2086784735,690073,4904623,39306410,1019284472,10,32,35,35,116820,27230
707,796,2852309148,1581200014,1170304,3030067,48020935,871050576,24,31,7,31,200689,15797
527,556,2452076931,5127257457,625115,6027725,19332415,762513240,11,29,37,38,128212,26121
527,586,2568827807,5577112468,708989,6703677,20737327,747234640,11,30,42,39,129038,28003
557,646,2585342606,4456689580,1286624,6216077,80597143,318069848,28,30,6,32,159692,28774
527,616,2653545036,5239013526,656715,6682279,19801789,943108584,11,29,39,36,126617,29267
646,707,2922666554,2342470794,1598779,3554243,83351461,1049800720,35,29,22,29,160524,19071
527,676,2492943991,5208536274,344529,6311036,19431838,814993248,11,26,36,33,126694,31358
527,677,2496650089,1537133084,282453,3465911,22904278,647190888,12,26,24,28,76988,18978
795,825,2511721280,987302085,186522,980877,73951,1009586784,44,4,4,0,78169,4374
527,766,2580828347,3675689329,82051,5705051,40251909,788616880,9,24,20,31,93771,32667
527,796,2820247415,2828192058,94847,4825980,40099970,1034592800,9,24,19,31,98185,30648
616,707,2526764096,1328391102,85598,3384703,31442307,628164200,10,24,32,29,97809,18234
646,796,3023034257,3081528658,230216,5060947,131415567,920355344,36,24,5,24,145323,25404
282,796,2321671112,1581127837,104554,6326630,46974253,701303528,15,22,54,40,55859,36864
282,826,2412233167,1620060563,116281,5296915,51590903,1375826144,16,22,54,40,57794,37755
527,587,2670968961,708080463,105347,938521,9005925,796601720,16,22,18,22,111661,4276
527,706,2575619955,3957992441,61302,5320101,19276507,700688104,5,22,21,23,111895,26499
557,707,2625195103,1624774205,127028,3909147,66035423,1428436256,22,22,26,26,121498,25247
586,707,2531600564,1105119941,78855,3063931,31386712,1048935624,10,22,31,28,95320,18552
282,793,2300005124,1498362786,104680,6380419,30895516,749884416,16,21,54,40,56535,32633
646,766,2754152755,2811339120,253826,4806687,120769419,950091384,38,21,4,21,138559,24063
680,707,2431437746,11497773649,209535,9793898,77550793,905354432,36,21,24,25,147111,39155
707,826,2967178070,1155471491,79708,1858558,23238306,527446680,17,21,24,23,175039,15286
282,824,2564018848,1620617016,166180,5130681,43249211,1157124256,16,20,53,38,55172,32845
496,497,2461370899,167031064,33999,190414,385007,297012864,4,4,6,4,73549,833
681,707,2379677323,11361957437,392630,13503796,92382160,1243370432,38,20,28,22,147133,38576
706,707,2787116041,497015001,65394,1597676,7853558,605774904,7,11,0,11,128054,10050
282,825,2280910775,1495929940,93478,4725053,39880976,1211854656,16,19,51,37,53571,33353
527,617,2553475919,595583574,81105,1101711,7468276,575163336,13,19,21,21,101138,5131
527,826,2579607784,1052737990,133312,2436514,12056106,1092123920,3,19,19,19,79224,22796
587,707,2451494157,2230096294,405532,8857177,193724671,1084257248,30,19,14,20,101775,26267
616,677,2744781304,876272246,69715,1837949,13224478,1458366512,10,19,7,19,62086,11798
676,707,2550341290,531649702,80280,1543134,13969251,792086376,13,19,9,19,108995,11040
312,796,2409631965,1372214862,87191,4682287,33319586,1353274696,16,18,50,35,52543,31402
312,826,2269401072,1412864178,90500,5757819,37315720,1067314400,17,18,50,35,54478,32033
342,796,2369686955,1780384146,317112,7354252,43484785,865831928,22,18,42,33,81119,32997
342,826,2513445873,1884278362,75155,8673996,49278924,685716808,23,18,42,33,83054,33447
527,647,2445261871,572709749,27643,977197,7035046,934601960,13,18,20,20,99073,6104
616,647,2435428910,405548395,18659,1174165,3931692,1147945712,5,17,4,14,77731,8028
646,677,2673361192,2150526772,77263,2009310,22787068,873367400,43,18,3,18,109346,7789
707,736,2803214420,537821777,37754,1025164,11322212,1051312056,19,18,11,21,96766,7879
312,793,2269386685,1310379808,35417,5182955,25129611,707827680,17,17,50,35,52254,26477
466,467,2385780723,173963763,11928,384995,883136,797539560,4,5,5,4,96899,1799
467,497,2478973078,162321868,12994,242506,406773,833419080,1,3,3,5,66865,1078
497,527,3246479435,607266942,24825,1464165,7017162,1030753184,7,7,7,7,88742,5779
556,707,2817208035,1018972682,25062,2401824,21997393,1466118648,10,17,19,19,76292,15324
586,677,2880416208,1108493568,23922,1833697,15670896,904027680,10,17,7,17,60231,11411
707,708,2994178532,506812521,13498,542106,731026,1065797384,1,1,0,1,148821,2596
