latitude;longitude;time
-26.256121908549602;-48.90487187785902;0
-26.256121908549602;-48.90487187785902;988
-26.25625090608507;-48.90483688292589;1976
-26.256375684621695;-48.90479629629662;2969
-26.256515072470272;-48.90477105961509;3965
-26.2566631147172;-48.904743428381174;4950
-26.25681610059515;-48.90471668796061;5944
-26.256963033462014;-48.9046919018974;6941
-26.25710972187658;-48.90469805759867;7928
-26.257251689883653;-48.90473065720447;8921
-26.257384713329195;-48.90476533013322;9904
-26.25750527141012;-48.90482201583437;10894
-26.25759987324841;-48.90490723110893;11882
-26.257682996009713;-48.904999809035274;12874
-26.25772375766327;-48.90511366121993;13865
-26.257740671213913;-48.90522978308416;14859
-26.25774900330482;-48.9053337448438;15847
-26.25773092423465;-48.90544551115308;16818
-26.25768544456527;-48.90554069107039;17805
-26.25763962722321;-48.90563090258822;18790
-26.25753374067253;-48.905694463090974;19784
-26.25742217212248;-48.90574386067338;20783
-26.257319579420834;-48.90579528467475;21784
-26.257224235523783;-48.905846383109996;22793
-26.25712230397521;-48.90584077430108;23774
-26.25702801438155;-48.90575204266637;24759
-26.25694829476276;-48.90566922505835;25740
-26.256875999733364;-48.90559393475779;26730
-26.25684085325803;-48.90549431774705;27713
-26.25679248582804;-48.90544853238348;28701
-26.256736847943166;-48.905427460614405;29736
-26.256687859406416;-48.90539039259386;30725
-26.256697406425342;-48.90524893578806;31717
-26.2567270357668;-48.90511217705328;32700
-26.256704725476418;-48.905024404414505;33683
-26.256775612773485;-48.90489036498389;34682
-26.256810159851863;-48.90476192329856;35685
-26.25683166358709;-48.904641832278905;36673
-26.25684877678321;-48.90450841949092;37665
-26.256889634472145;-48.90435357307591;38661
-26.256924333730808;-48.90420639247877;39660
-26.256962068770342;-48.90406674251709;40658
-26.256995756995085;-48.90392793152929;41637
-26.257018627059345;-48.90380599686974;42629
-26.25703932517763;-48.90364323018075;43607
-26.257057988649045;-48.90349692722152;44597
-26.257080044896693;-48.90335391418165;45588
-26.257159007010458;-48.903250737110255;46562
-26.25723892741433;-48.90315784583768;47543
-26.257344202251176;-48.90310188895926;48534
-26.2574478919432;-48.90305014993603;49523
-26.257556888992077;-48.90301715364678;50510
-26.25765844995218;-48.902990477592155;51496
-26.257755837858017;-48.90296129123576;52491
-26.257824453861;-48.90297613234333;53483
-26.257825601362445;-48.902935704663335;54469
-26.257832196971446;-48.90289226732318;55462
-26.257705338701637;-48.90281275825114;56450
