latitude;longitude;time
-26.478050000000003;-49.04986;0
-26.47809;-49.05028;1000
-26.4781;-49.05111;2000
-26.478130000000004;-49.05328;3000
-26.478130000000004;-49.053650000000005;4000
-26.478130000000004;-49.05433000000001;5000
-26.478160000000003;-49.054880000000004;6000
-26.478160000000003;-49.05543;7000
-26.47819;-49.05619;8000
-26.478230000000003;-49.05809000000001;9000
-26.478320000000004;-49.05852;10000
-26.478430000000003;-49.05875;11000
-26.47906;-49.05957;12000
-26.479450000000003;-49.06006000000001;13000
-26.47962;-49.06035000000001;14000
-26.479740000000003;-49.06062000000001;15000
-26.47981;-49.060880000000004;16000
-26.479860000000002;-49.06156000000001;17000
-26.479850000000003;-49.062000000000005;18000
-26.479820000000004;-49.06235;19000
-26.479570000000002;-49.06329;20000
-26.47933;-49.06398;21000
-26.47912;-49.06457;22000
-26.478990000000003;-49.0653;23000
-26.478900000000003;-49.06584;24000
-26.47884;-49.066370000000006;25000
-26.478740000000002;-49.0677;26000
-26.478520000000003;-49.070220000000006;27000
-26.47848;-49.07085000000001;28000
-26.47849;-49.07112;29000
-26.478520000000003;-49.071310000000004;30000
-26.47868;-49.071810000000006;31000
-26.47877;-49.07195;32000
-26.478890000000003;-49.07209;33000
-26.479200000000002;-49.072390000000006;34000
-26.479740000000003;-49.07305;35000
-26.480390000000003;-49.07376000000001;36000
-26.481430000000003;-49.07493;37000
-26.481720000000003;-49.07527;38000
-26.48176;-49.075250000000004;39000
-26.482850000000003;-49.075230000000005;40000
-26.483680000000003;-49.075210000000006;41000
-26.483850000000004;-49.07517000000001;42000
-26.483970000000003;-49.07513;43000
-26.48401;-49.07508000000001;44000
-26.484040000000004;-49.07504;45000
-26.48449;-49.07549;46000
-26.48617;-49.077040000000004;47000
-26.486410000000003;-49.077290000000005;48000
-26.48635;-49.07734000000001;49000
-26.486210000000003;-49.07746;50000
-26.485210000000002;-49.07838;51000
-26.48494;-49.0786;52000
-26.48449;-49.079060000000005;53000
-26.483900000000002;-49.0797;54000
-26.48289;-49.080830000000006;55000
-26.48166;-49.082170000000005;56000
-26.481350000000003;-49.08259;57000
-26.481430000000003;-49.082660000000004;58000
-26.481550000000002;-49.082710000000006;59000
-26.48167;-49.08272;60000
-26.482020000000002;-49.082710000000006;61000
-26.48204;-49.082710000000006;62000
-26.481990000000003;-49.08276000000001;63000
-26.481890000000003;-49.083000000000006;64000
-26.481370000000002;-49.08419000000001;65000
-26.480520000000002;-49.0863;66000
-26.480120000000003;-49.08722;67000
-26.47988;-49.087950000000006;68000
-26.479670000000002;-49.0885;69000
-26.479480000000002;-49.08899;70000
-26.47912;-49.089040000000004;71000
